ad_group_id,campaign_id,ad_group_name,targeting_type,optimization_goal,bid_strategy,bid_amount_usd,audience_size,start_date,end_date
ADG_001,CMP_001,Interest Ad Group 1,Interest,Conversion,Lowest Cost,0.2266,7107658,2026-02-28,2026-04-27
ADG_002,CMP_001,Lookalike Ad Group 2,Lookalike,Conversion,Cost Cap,0.3967,2218216,2026-02-28,2026-04-27
ADG_003,CMP_002,Broad Ad Group 3,Broad,Click,Lowest Cost,0.2825,1894540,2026-01-11,2026-05-12
ADG_004,CMP_002,Interest Ad Group 4,Interest,Click,Cost Cap,0.2734,1211721,2026-01-11,2026-05-12
ADG_005,CMP_002,Interest Ad Group 5,Interest,Click,Lowest Cost,0.2786,2954908,2026-01-11,2026-05-12
ADG_006,CMP_003,Retargeting Ad Group 6,Retargeting,Video Complete,Bid Cap,0.0362,613920,2026-03-06,2026-04-23
ADG_007,CMP_003,Retargeting Ad Group 7,Retargeting,Reach,Cost Cap,0.0326,1131899,2026-03-06,2026-04-23
ADG_008,CMP_003,Lookalike Ad Group 8,Lookalike,Video Complete,Cost Cap,0.0587,1370240,2026-03-06,2026-04-23
ADG_009,CMP_003,Interest Ad Group 9,Interest,Reach,Bid Cap,0.0771,91023,2026-03-06,2026-04-23
ADG_010,CMP_004,Broad Ad Group 10,Broad,Reach,Lowest Cost,1.9307,5666500,2026-01-12,2026-03-26
ADG_011,CMP_004,Lookalike Ad Group 11,Lookalike,Reach,Lowest Cost,1.7905,1442892,2026-01-12,2026-03-26
ADG_012,CMP_005,Lookalike Ad Group 12,Lookalike,Click,Bid Cap,3.1223,130990,2026-02-04,2026-05-01
ADG_013,CMP_005,Lookalike Ad Group 13,Lookalike,Reach,Lowest Cost,2.116,5571647,2026-02-04,2026-05-01
ADG_014,CMP_006,Interest Ad Group 14,Interest,Conversion,Bid Cap,0.3868,388684,2025-12-28,2026-03-26
ADG_015,CMP_006,Broad Ad Group 15,Broad,Conversion,Cost Cap,0.2637,635365,2025-12-28,2026-03-26
ADG_016,CMP_006,Retargeting Ad Group 16,Retargeting,Click,Cost Cap,0.1489,118765,2025-12-28,2026-03-26
ADG_017,CMP_006,Retargeting Ad Group 17,Retargeting,Conversion,Lowest Cost,0.0954,908153,2025-12-28,2026-03-26
ADG_018,CMP_007,Interest Ad Group 18,Interest,Reach,Cost Cap,0.0493,366429,2026-03-29,2026-05-31
