billing_id,date,advertiser_id,campaign_id,market_id,billable_impressions,billable_clicks,gross_revenue_usd,discount_usd,net_revenue_usd,billing_status
BIL_00000001,2025-12-01,ADV_005,CMP_014,MKT_AE,16580,121,33.88,0.0,25.712,Finalized
BIL_00000002,2025-12-01,ADV_005,CMP_014,MKT_ID,2742,23,4.6295,0.0,3.4099,Finalized
BIL_00000003,2025-12-01,ADV_005,CMP_014,MKT_MY,21395,221,60.8685,3.0434,46.3422,Finalized
BIL_00000004,2025-12-01,ADV_005,CMP_014,MKT_SA,9556,88,18.8736,0.9437,14.4487,Finalized
BIL_00000005,2025-12-01,ADV_005,CMP_014,MKT_TH,5960,67,11.1655,0.2233,8.5632,Finalized
BIL_00000006,2025-12-01,ADV_007,CMP_023,MKT_ID,35408,319,93.7107,1.8742,70.8962,Finalized
BIL_00000007,2025-12-01,ADV_007,CMP_023,MKT_MY,8882,112,21.537,0.0,16.0074,Finalized
BIL_00000008,2025-12-01,ADV_007,CMP_023,MKT_TH,6170,86,15.7281,1.2582,12.0369,Finalized
BIL_00000009,2025-12-02,ADV_004,CMP_012,MKT_AE,4442,30,10.5718,0.0,8.2176,Finalized
BIL_00000010,2025-12-02,ADV_004,CMP_012,MKT_ID,11309,153,33.7516,0.0,23.4621,Finalized
BIL_00000011,2025-12-02,ADV_004,CMP_012,MKT_SA,2283,36,7.1783,0.3589,5.6535,Finalized
BIL_00000012,2025-12-02,ADV_004,CMP_012,MKT_SG,2944,41,9.1182,0.0,7.1324,Finalized
BIL_00000013,2025-12-02,ADV_004,CMP_012,MKT_TH,9016,94,26.1311,0.0,20.0947,Finalized
BIL_00000014,2025-12-02,ADV_005,CMP_014,MKT_AE,10325,218,34.8141,0.0,27.1227,Finalized
BIL_00000015,2025-12-02,ADV_005,CMP_014,MKT_ID,50345,722,161.127,0.0,116.2187,Finalized
BIL_00000016,2025-12-02,ADV_005,CMP_014,MKT_TH,7786,54,19.4959,0.9748,15.9006,Finalized
BIL_00000017,2025-12-02,ADV_007,CMP_023,MKT_ID,26240,291,78.6391,0.0,58.8437,Finalized
