campaign_id,advertiser_id,campaign_name,objective,buying_type,campaign_status,start_date,end_date,total_budget_usd,daily_budget_usd
CMP_001,ADV_001,Conversion Campaign 1,Conversion,CPC,Completed,2026-02-28,2026-04-27,6438.75,109.13
CMP_002,ADV_001,Traffic Campaign 2,Traffic,CPC,Completed,2026-01-11,2026-05-12,8325.36,68.24
CMP_003,ADV_001,Video Views Campaign 3,Video Views,CPV,Completed,2026-03-06,2026-04-23,8185.91,167.06
CMP_004,ADV_001,Awareness Campaign 4,Awareness,CPM,Completed,2026-01-12,2026-03-26,5330.35,72.03
CMP_005,ADV_002,Awareness Campaign 5,Awareness,CPM,Completed,2026-02-04,2026-05-01,33641.14,386.68
CMP_006,ADV_002,Conversion Campaign 6,Conversion,CPC,Completed,2025-12-28,2026-03-26,22912.9,257.45
CMP_007,ADV_002,Video Views Campaign 7,Video Views,CPV,Active,2026-03-29,2026-05-31,15205.01,237.58
CMP_008,ADV_002,Video Views Campaign 8,Video Views,CPV,Completed,2025-12-27,2026-04-12,12858.37,120.17
CMP_009,ADV_003,Video Views Campaign 9,Video Views,CPV,Completed,2026-02-10,2026-04-22,18557.69,257.75
CMP_010,ADV_003,Awareness Campaign 10,Awareness,CPM,Completed,2026-01-13,2026-03-22,29750.05,431.16
CMP_011,ADV_004,Awareness Campaign 11,Awareness,CPM,Completed,2026-01-21,2026-05-07,18837.3,176.05
CMP_012,ADV_004,Video Views Campaign 12,Video Views,CPV,Completed,2025-12-02,2026-01-18,3941.9,82.12
CMP_013,ADV_004,Awareness Campaign 13,Awareness,CPM,Completed,2026-03-23,2026-05-08,5187.63,110.38
CMP_014,ADV_005,Awareness Campaign 14,Awareness,CPM,Completed,2025-12-01,2026-02-02,22056.5,344.63
CMP_015,ADV_005,Traffic Campaign 15,Traffic,CPC,Completed,2026-02-08,2026-04-25,24300.42,315.59
CMP_016,ADV_005,Awareness Campaign 16,Awareness,CPM,Completed,2025-12-17,2026-03-09,20033.58,241.37
CMP_017,ADV_006,Conversion Campaign 17,Conversion,CPM,Completed,2026-03-22,2026-05-21,64660.43,1060.01
CMP_018,ADV_006,Traffic Campaign 18,Traffic,CPC,Completed,2026-03-03,2026-04-19,40908.43,852.26
CMP_019,ADV_006,Conversion Campaign 19,Conversion,CPM,Completed,2026-02-05,2026-04-09,41367.43,646.37
CMP_020,ADV_007,Awareness Campaign 20,Awareness,CPM,Completed,2026-01-08,2026-05-14,50348.43,396.44
CMP_021,ADV_007,Conversion Campaign 21,Conversion,CPC,Completed,2026-01-19,2026-03-27,20310.09,298.68
CMP_022,ADV_007,Conversion Campaign 22,Conversion,CPM,Completed,2025-12-16,2026-04-29,59955.6,444.12
CMP_023,ADV_007,Traffic Campaign 23,Traffic,CPC,Completed,2025-12-01,2026-03-03,40788.72,438.59
CMP_024,ADV_008,Video Views Campaign 24,Video Views,CPV,Completed,2025-12-09,2026-05-07,97024.22,646.83
CMP_025,ADV_008,Conversion Campaign 25,Conversion,CPC,Completed,2025-12-24,2026-04-01,100276.53,1012.89
CMP_026,ADV_009,Video Views Campaign 26,Video Views,CPM,Active,2026-03-14,2026-05-31,66643.11,843.58
CMP_027,ADV_009,Traffic Campaign 27,Traffic,CPM,Completed,2025-12-25,2026-05-11,81603.93,591.33
CMP_028,ADV_009,Traffic Campaign 28,Traffic,CPC,Completed,2026-01-04,2026-05-08,149411.11,1195.29
CMP_029,ADV_009,Awareness Campaign 29,Awareness,CPM,Completed,2025-12-14,2026-02-17,33131.95,502.0
CMP_030,ADV_010,Conversion Campaign 30,Conversion,CPM,Completed,2026-01-17,2026-05-17,94681.53,782.49
CMP_031,ADV_010,Conversion Campaign 31,Conversion,CPM,Completed,2025-12-30,2026-03-22,98110.89,1182.06
CMP_032,ADV_010,Traffic Campaign 32,Traffic,CPM,Completed,2025-12-27,2026-05-18,92602.03,647.57
