conversion_event_id,performance_id,date,conversion_type,conversions,conversion_value_usd,attribution_window_day
CNV_00000001,PERF_00000018,2025-12-01,Lead,3,114.4451,14
CNV_00000002,PERF_00000036,2025-12-02,Purchase,1,72.3364,14
CNV_00000003,PERF_00000048,2025-12-02,Add to Cart,2,53.5284,7
CNV_00000004,PERF_00000071,2025-12-03,Purchase,1,90.6819,7
CNV_00000005,PERF_00000080,2025-12-03,Signup,1,23.6153,7
CNV_00000006,PERF_00000082,2025-12-03,Signup,1,9.5506,14
CNV_00000007,PERF_00000083,2025-12-03,Lead,1,25.101,14
CNV_00000008,PERF_00000091,2025-12-03,Lead,1,32.1121,7
CNV_00000009,PERF_00000109,2025-12-04,Add to Cart,1,30.041,1
CNV_00000010,PERF_00000114,2025-12-04,Signup,5,80.799,7
CNV_00000011,PERF_00000115,2025-12-04,Signup,1,10.0164,7
CNV_00000012,PERF_00000118,2025-12-04,Signup,1,9.5651,1
CNV_00000013,PERF_00000147,2025-12-05,Purchase,2,88.7086,28
CNV_00000014,PERF_00000148,2025-12-05,Lead,2,46.8097,14
CNV_00000015,PERF_00000153,2025-12-05,Signup,1,20.1433,14
CNV_00000016,PERF_00000163,2025-12-05,Lead,4,167.7235,1
CNV_00000017,PERF_00000183,2025-12-06,Signup,2,43.8344,1
CNV_00000018,PERF_00000184,2025-12-06,Signup,2,23.5173,28
CNV_00000019,PERF_00000192,2025-12-06,Purchase,1,21.1199,7
CNV_00000020,PERF_00000228,2025-12-07,Add to Cart,2,18.5526,1
CNV_00000021,PERF_00000231,2025-12-07,Purchase,1,57.1603,1
CNV_00000022,PERF_00000232,2025-12-07,Signup,1,14.9033,7
CNV_00000023,PERF_00000234,2025-12-07,Signup,1,16.8435,14
CNV_00000024,PERF_00000260,2025-12-08,Lead,5,221.2795,28
CNV_00000025,PERF_00000267,2025-12-09,Signup,1,10.7982,1
CNV_00000026,PERF_00000278,2025-12-09,Signup,1,12.6076,1
CNV_00000027,PERF_00000286,2025-12-09,Purchase,1,89.1293,1
CNV_00000028,PERF_00000291,2025-12-09,Signup,1,4.8949,7
CNV_00000029,PERF_00000294,2025-12-09,Purchase,1,63.7399,1
CNV_00000030,PERF_00000330,2025-12-10,Signup,1,6.9393,1
CNV_00000031,PERF_00000351,2025-12-10,Purchase,4,261.8652,28
CNV_00000032,PERF_00000352,2025-12-10,Signup,2,36.1223,1
CNV_00000033,PERF_00000353,2025-12-10,Purchase,1,21.2208,7
CNV_00000034,PERF_00000357,2025-12-10,Add to Cart,1,24.0116,28
CNV_00000035,PERF_00000381,2025-12-11,Lead,2,70.7202,7
CNV_00000036,PERF_00000402,2025-12-11,Purchase,3,267.7673,7
CNV_00000037,PERF_00000403,2025-12-11,Add to Cart,2,19.3573,7
CNV_00000038,PERF_00000468,2025-12-12,Purchase,2,66.6505,14
CNV_00000039,PERF_00000485,2025-12-13,Lead,1,18.5436,14
CNV_00000040,PERF_00000489,2025-12-13,Purchase,1,53.6514,28
CNV_00000041,PERF_00000493,2025-12-13,Lead,1,21.496,14
CNV_00000042,PERF_00000496,2025-12-13,Purchase,2,45.8128,7
CNV_00000043,PERF_00000498,2025-12-13,Purchase,1,23.6189,7
CNV_00000044,PERF_00000506,2025-12-13,Lead,1,44.2678,1
CNV_00000045,PERF_00000507,2025-12-13,Purchase,7,383.998,7
CNV_00000046,PERF_00000509,2025-12-13,Purchase,2,139.9637,1
CNV_00000047,PERF_00000525,2025-12-14,Signup,1,5.406,1
CNV_00000048,PERF_00000533,2025-12-14,Add to Cart,1,23.0041,28
