creative_id,advertiser_id,creative_name,creative_format,video_duration_sec,aspect_ratio,creative_quality_score,is_video,created_at
CRE_001,ADV_001,Carousel Creative 1,Carousel,,9:16,84.04,False,2026-04-03
CRE_002,ADV_001,Carousel Creative 2,Carousel,,1:1,64.47,False,2025-08-12
CRE_003,ADV_001,Video Creative 3,Video,10.0,1:1,71.89,True,2025-08-21
CRE_004,ADV_001,Video Creative 4,Video,15.0,4:5,75.64,True,2025-11-10
CRE_005,ADV_001,Rich Media Creative 5,Rich Media,,1:1,61.66,False,2025-08-25
CRE_006,ADV_001,Image Creative 6,Image,,4:5,76.36,False,2026-01-01
CRE_007,ADV_001,Image Creative 7,Image,,1:1,62.34,False,2026-04-22
CRE_008,ADV_001,Carousel Creative 8,Carousel,,9:16,79.16,False,2025-12-12
CRE_009,ADV_001,Video Creative 9,Video,10.0,4:5,87.81,True,2026-03-01
CRE_010,ADV_001,Image Creative 10,Image,,9:16,70.58,False,2025-12-09
CRE_011,ADV_001,Carousel Creative 11,Carousel,,4:5,52.51,False,2026-04-05
CRE_012,ADV_002,Image Creative 12,Image,,1:1,73.94,False,2026-01-10
CRE_013,ADV_002,Image Creative 13,Image,,9:16,64.05,False,2025-10-14
CRE_014,ADV_002,Video Creative 14,Video,30.0,9:16,47.64,True,2026-04-30
CRE_015,ADV_002,Carousel Creative 15,Carousel,,16:9,76.84,False,2026-02-28
CRE_016,ADV_002,Video Creative 16,Video,6.0,16:9,71.71,True,2026-04-05
CRE_017,ADV_002,Image Creative 17,Image,,4:5,75.4,False,2025-08-01
CRE_018,ADV_002,Carousel Creative 18,Carousel,,16:9,68.89,False,2025-12-06
CRE_019,ADV_002,Video Creative 19,Video,30.0,16:9,48.77,True,2025-08-21
CRE_020,ADV_002,Image Creative 20,Image,,1:1,73.51,False,2025-12-20
CRE_021,ADV_003,Carousel Creative 21,Carousel,,1:1,80.68,False,2026-02-23
CRE_022,ADV_003,Image Creative 22,Image,,1:1,80.01,False,2025-12-12
CRE_023,ADV_003,Video Creative 23,Video,15.0,9:16,70.41,True,2025-12-20
CRE_024,ADV_003,Carousel Creative 24,Carousel,,4:5,60.31,False,2026-02-06
CRE_025,ADV_003,Image Creative 25,Image,,4:5,65.58,False,2026-04-27
CRE_026,ADV_003,Carousel Creative 26,Carousel,,16:9,70.91,False,2025-12-28
CRE_027,ADV_003,Carousel Creative 27,Carousel,,9:16,78.16,False,2026-02-17
CRE_028,ADV_003,Carousel Creative 28,Carousel,,1:1,68.89,False,2026-02-22
CRE_029,ADV_003,Video Creative 29,Video,10.0,16:9,65.57,True,2025-11-28
CRE_030,ADV_003,Video Creative 30,Video,15.0,4:5,81.7,True,2026-04-22
CRE_031,ADV_003,Image Creative 31,Image,,16:9,49.38,False,2026-03-15
CRE_032,ADV_004,Image Creative 32,Image,,9:16,68.44,False,2025-09-10
CRE_033,ADV_004,Image Creative 33,Image,,1:1,83.4,False,2025-11-28
CRE_034,ADV_004,Image Creative 34,Image,,16:9,92.53,False,2025-08-16
CRE_035,ADV_004,Image Creative 35,Image,,1:1,72.84,False,2026-01-19
CRE_036,ADV_004,Image Creative 36,Image,,1:1,85.94,False,2026-02-17
CRE_037,ADV_004,Carousel Creative 37,Carousel,,4:5,83.7,False,2025-10-04
CRE_038,ADV_004,Image Creative 38,Image,,16:9,78.01,False,2025-10-15
CRE_039,ADV_004,Video Creative 39,Video,10.0,9:16,60.16,True,2026-03-20
CRE_040,ADV_005,Video Creative 40,Video,15.0,1:1,66.38,True,2026-01-26
CRE_041,ADV_005,Image Creative 41,Image,,9:16,60.41,False,2025-10-15
CRE_042,ADV_005,Video Creative 42,Video,30.0,9:16,72.36,True,2026-01-09
CRE_043,ADV_005,Video Creative 43,Video,45.0,9:16,64.52,True,2025-12-31
CRE_044,ADV_005,Image Creative 44,Image,,1:1,53.41,False,2026-04-25
CRE_045,ADV_005,Video Creative 45,Video,45.0,1:1,69.78,True,2025-11-01
CRE_046,ADV_005,Video Creative 46,Video,30.0,9:16,52.89,True,2026-03-25
CRE_047,ADV_005,Video Creative 47,Video,15.0,1:1,85.91,True,2026-02-06
CRE_048,ADV_005,Carousel Creative 48,Carousel,,4:5,73.45,False,2025-10-29
CRE_049,ADV_005,Video Creative 49,Video,15.0,9:16,66.09,True,2026-03-21
CRE_050,ADV_005,Image Creative 50,Image,,1:1,55.89,False,2025-09-10
CRE_051,ADV_005,Carousel Creative 51,Carousel,,16:9,84.46,False,2025-09-10
CRE_052,ADV_006,Video Creative 52,Video,30.0,16:9,73.04,True,2025-12-05
CRE_053,ADV_006,Image Creative 53,Image,,4:5,55.47,False,2025-10-11
