dq_log_id,date,issue_type,severity,affected_table,market_id,device_id,placement_id,estimated_affected_rows,description,is_root_cause_candidate
DQ_00001,2026-02-12,Missing Viewability Ping,Low,daily_ad_performance,MKT_TH,DEV_IOS_APP,PLC_049,258,Low severity missing viewability ping detected on daily_ad_performance. Estimated impact is limited and localized.,False
DQ_00002,2026-02-12,Missing Viewability Ping,Low,daily_ad_performance,MKT_MY,DEV_ANDROID_APP,PLC_020,128,Low severity missing viewability ping detected on daily_ad_performance. Estimated impact is limited and localized.,False
DQ_00003,2026-02-12,Delayed Conversion Upload,Low,conversion_events,MKT_AE,DEV_IOS_APP,PLC_046,137,Low severity delayed conversion upload detected on conversion_events. Estimated impact is limited and localized.,False
DQ_00004,2026-03-28,Late Billing Reconciliation,Medium,billing_revenue,MKT_SA,DEV_IOS_APP,PLC_015,134,Medium severity late billing reconciliation detected on billing_revenue. Estimated impact is limited and localized.,False
DQ_00005,2026-03-28,Missing Viewability Ping,Low,daily_ad_performance,MKT_ID,DEV_MOBILE_WEB,PLC_057,149,Low severity missing viewability ping detected on daily_ad_performance. Estimated impact is limited and localized.,False
DQ_00006,2026-03-28,Duplicate Click Ping,Low,daily_ad_performance,MKT_AE,DEV_MOBILE_WEB,PLC_012,73,Low severity duplicate click ping detected on daily_ad_performance. Estimated impact is limited and localized.,False
DQ_00007,2026-03-28,Delayed Conversion Upload,Low,conversion_events,MKT_AE,DEV_MOBILE_WEB,PLC_037,298,Low severity delayed conversion upload detected on conversion_events. Estimated impact is limited and localized.,False
DQ_00008,2026-03-28,Missing Viewability Ping,Low,daily_ad_performance,MKT_MY,DEV_ANDROID_APP,PLC_020,171,Low severity missing viewability ping detected on daily_ad_performance. Estimated impact is limited and localized.,False
DQ_00009,2026-04-03,Duplicate Click Ping,Low,daily_ad_performance,MKT_AE,DEV_MOBILE_WEB,PLC_049,38,Low severity duplicate click ping detected on daily_ad_performance. Estimated impact is limited and localized.,False
DQ_00010,2026-04-03,Missing Viewability Ping,Low,daily_ad_performance,MKT_MY,DEV_DESKTOP_WEB,PLC_015,260,Low severity missing viewability ping detected on daily_ad_performance. Estimated impact is limited and localized.,False
DQ_00011,2026-04-03,Missing Viewability Ping,Low,daily_ad_performance,MKT_ID,DEV_IOS_APP,PLC_026,43,Low severity missing viewability ping detected on daily_ad_performance. Estimated impact is limited and localized.,False
DQ_00012,2026-04-03,Delayed Conversion Upload,Low,conversion_events,MKT_SA,DEV_MOBILE_WEB,PLC_020,264,Low severity delayed conversion upload detected on conversion_events. Estimated impact is limited and localized.,False
DQ_00013,2026-04-03,Delayed Conversion Upload,Medium,conversion_events,MKT_SA,DEV_IOS_APP,PLC_037,122,Medium severity delayed conversion upload detected on conversion_events. Estimated impact is limited and localized.,False
DQ_00014,2026-04-04,Duplicate Click Ping,Low,daily_ad_performance,MKT_SG,DEV_IOS_APP,PLC_026,144,Low severity duplicate click ping detected on daily_ad_performance. Estimated impact is limited and localized.,False
DQ_00015,2026-04-04,Delayed Conversion Upload,Medium,conversion_events,MKT_SA,DEV_ANDROID_APP,PLC_015,70,Medium severity delayed conversion upload detected on conversion_events. Estimated impact is limited and localized.,False
DQ_00016,2026-04-04,Missing Viewability Ping,Low,daily_ad_performance,MKT_MY,DEV_MOBILE_WEB,PLC_026,136,Low severity missing viewability ping detected on daily_ad_performance. Estimated impact is limited and localized.,False
DQ_00017,2026-04-04,Missing Viewability Ping,Low,daily_ad_performance,MKT_MY,DEV_ANDROID_APP,PLC_015,172,Low severity missing viewability ping detected on daily_ad_performance. Estimated impact is limited and localized.,False
DQ_00018,2026-04-04,Delayed Conversion Upload,Low,conversion_events,MKT_AE,DEV_IOS_APP,PLC_037,233,Low severity delayed conversion upload detected on conversion_events. Estimated impact is limited and localized.,False
DQ_00019,2026-04-04,Late Billing Reconciliation,Low,billing_revenue,MKT_AE,DEV_ANDROID_APP,PLC_046,110,Low severity late billing reconciliation detected on billing_revenue. Estimated impact is limited and localized.,False
DQ_00020,2026-04-20,Missing Viewability Ping,Medium,daily_ad_performance,MKT_TH,DEV_MOBILE_WEB,PLC_057,53,Medium severity missing viewability ping detected on daily_ad_performance. Estimated impact is limited and localized.,False
DQ_00021,2026-04-20,Missing Viewability Ping,Low,daily_ad_performance,MKT_SA,DEV_IOS_APP,PLC_012,243,Low severity missing viewability ping detected on daily_ad_performance. Estimated impact is limited and localized.,False
DQ_00022,2026-04-20,Partial Video Quartile Drop,Medium,video_performance,MKT_AE,DEV_IOS_APP,PLC_026,52,Medium severity partial video quartile drop detected on video_performance. Estimated impact is limited and localized.,False
DQ_00023,2026-05-09,Delayed Conversion Upload,Medium,conversion_events,MKT_ID,DEV_DESKTOP_WEB,PLC_026,26,Medium severity delayed conversion upload detected on conversion_events. Estimated impact is limited and localized.,False
DQ_00024,2026-05-09,Missing Viewability Ping,Medium,daily_ad_performance,MKT_MY,DEV_MOBILE_WEB,PLC_046,132,Medium severity missing viewability ping detected on daily_ad_performance. Estimated impact is limited and localized.,False
DQ_00025,2026-05-09,Delayed Conversion Upload,Low,conversion_events,MKT_MY,DEV_MOBILE_WEB,PLC_012,248,Low severity delayed conversion upload detected on conversion_events. Estimated impact is limited and localized.,False
DQ_00026,2026-05-09,Late Billing Reconciliation,Low,billing_revenue,MKT_AE,DEV_MOBILE_WEB,PLC_049,41,Low severity late billing reconciliation detected on billing_revenue. Estimated impact is limited and localized.,False
