placement_id,placement_name,page_type,placement_position,inventory_type,ad_format_supported,baseline_viewability_rate,baseline_ctr,quality_tier,is_below_the_fold
PLC_001,Desktop Web Home Top 1,Article,Top,Desktop Web,Mixed,0.8002,0.01509,High,False
PLC_002,App Video Feed Top 2,Checkout,Top,App,Video,0.5457,0.00972,Medium,False
PLC_003,App Search In-feed 3,Checkout,In-feed,App,Display,0.635,0.01013,Medium,False
PLC_004,App Search Bottom 4,Search,Bottom,App,Native,0.7825,0.01693,High,True
PLC_005,App Checkout Middle 5,Detail,Middle,App,Display,0.6172,0.00672,Medium,False
PLC_006,Mobile Web Checkout Bottom 6,Home,Bottom,Mobile Web,Video,0.6091,0.00791,Medium,True
PLC_007,Mobile Web Video Feed Top 7,Checkout,Top,Mobile Web,Video,0.5526,0.00729,Medium,False
PLC_008,Desktop Web Search Top 8,Home,Top,Desktop Web,Display,0.7494,0.0174,High,False
PLC_009,Desktop Web Home Middle 9,Checkout,Middle,Desktop Web,Mixed,0.6012,0.00793,Medium,False
PLC_010,Mobile Web Article In-feed 10,Home,In-feed,Mobile Web,Native,0.768,0.0152,High,False
PLC_011,Mobile Web Detail In-feed 11,Article,In-feed,Mobile Web,Display,0.6514,0.0109,Medium,False
PLC_012,Mobile Web Detail Bottom 12,Detail,Bottom,Mobile Web,Display,0.4877,0.00432,Low,True
PLC_013,Desktop Web Checkout Bottom 13,Checkout,Bottom,Desktop Web,Video,0.5649,0.00646,Medium,True
PLC_014,Desktop Web Search Sidebar 14,Search,Sidebar,Desktop Web,Video,0.6073,0.01187,Medium,True
PLC_015,App Detail In-feed 15,Detail,In-feed,App,Video,0.4406,0.00395,Low,True
PLC_016,App Search Sidebar 16,Detail,Sidebar,App,Mixed,0.5943,0.01006,Medium,True
PLC_017,Desktop Web Search Top 17,Video Feed,Top,Desktop Web,Display,0.5797,0.00942,Medium,False
PLC_018,Mobile Web Video Feed Top 18,Checkout,Top,Mobile Web,Mixed,0.7617,0.01604,High,False
PLC_019,App Detail In-feed 19,Article,In-feed,App,Display,0.5532,0.00999,Medium,False
PLC_020,Mobile Web Video Feed Top 20,Search,Top,Mobile Web,Mixed,0.3865,0.00522,Low,True
PLC_021,Mobile Web Detail Middle 21,Checkout,Middle,Mobile Web,Video,0.5691,0.0079,Medium,False
PLC_022,App Article In-feed 22,Search,In-feed,App,Video,0.5544,0.00797,Medium,False
PLC_023,App Search Middle 23,Checkout,Middle,App,Mixed,0.6987,0.01299,High,False
PLC_024,Mobile Web Home Bottom 24,Checkout,Bottom,Mobile Web,Display,0.8115,0.01473,High,True
PLC_025,Mobile Web Search In-feed 25,Video Feed,In-feed,Mobile Web,Mixed,0.7717,0.01641,High,False
PLC_026,Mobile Web Home Sidebar 26,Article,Sidebar,Mobile Web,Display,0.4793,0.00587,Low,True
PLC_027,App Video Feed In-feed 27,Article,In-feed,App,Display,0.6607,0.0067,Medium,False
PLC_028,App Video Feed Bottom 28,Checkout,Bottom,App,Display,0.6023,0.01015,Medium,True
PLC_029,Desktop Web Article In-feed 29,Article,In-feed,Desktop Web,Display,0.5308,0.00566,Medium,False
PLC_030,Desktop Web Video Feed Middle 30,Video Feed,Middle,Desktop Web,Display,0.5209,0.00826,Medium,False
PLC_031,App Article Bottom 31,Video Feed,Bottom,App,Display,0.7368,0.00912,High,True
PLC_032,Mobile Web Detail Middle 32,Search,Middle,Mobile Web,Video,0.7789,0.01178,High,False
PLC_033,Desktop Web Video Feed Middle 33,Detail,Middle,Desktop Web,Video,0.5825,0.00549,Medium,False
PLC_034,App Detail Sidebar 34,Checkout,Sidebar,App,Video,0.6111,0.01108,Medium,True
PLC_035,Mobile Web Article In-feed 35,Checkout,In-feed,Mobile Web,Mixed,0.6793,0.01187,Medium,False
PLC_036,Mobile Web Detail Bottom 36,Checkout,Bottom,Mobile Web,Video,0.6719,0.01083,Medium,True
PLC_037,App Home In-feed 37,Home,In-feed,App,Display,0.3498,0.0054,Low,True
PLC_038,Mobile Web Checkout Sidebar 38,Checkout,Sidebar,Mobile Web,Video,0.5862,0.00643,Medium,True
PLC_039,Desktop Web Detail Middle 39,Detail,Middle,Desktop Web,Video,0.5231,0.01045,Medium,False
PLC_040,Mobile Web Video Feed Bottom 40,Video Feed,Bottom,Mobile Web,Video,0.6222,0.01167,Medium,True
PLC_041,Mobile Web Detail Middle 41,Checkout,Middle,Mobile Web,Native,0.4733,0.00293,Low,True
PLC_042,App Checkout Top 42,Checkout,Top,App,Video,0.765,0.01693,High,False
PLC_043,Desktop Web Home Bottom 43,Detail,Bottom,Desktop Web,Display,0.638,0.00701,Medium,True
PLC_044,Mobile Web Checkout Top 44,Checkout,Top,Mobile Web,Display,0.7451,0.01663,High,False
PLC_045,Desktop Web Video Feed Top 45,Detail,Top,Desktop Web,Video,0.7737,0.01703,High,False
PLC_046,App Checkout Middle 46,Search,Middle,App,Display,0.3813,0.00461,Low,True
PLC_047,Mobile Web Article In-feed 47,Detail,In-feed,Mobile Web,Display,0.6415,0.01177,Medium,False
PLC_048,App Article Sidebar 48,Video Feed,Sidebar,App,Display,0.7957,0.01229,High,True
PLC_049,App Checkout Sidebar 49,Search,Sidebar,App,Mixed,0.3664,0.00404,Low,True
PLC_050,Mobile Web Checkout In-feed 50,Detail,In-feed,Mobile Web,Display,0.5966,0.01046,Medium,False
PLC_051,Desktop Web Home Top 51,Search,Top,Desktop Web,Display,0.7443,0.01176,High,False
PLC_052,App Home Top 52,Search,Top,App,Display,0.6119,0.00967,Medium,False
PLC_053,Desktop Web Search Top 53,Detail,Top,Desktop Web,Video,0.6424,0.01158,Medium,False
PLC_054,Mobile Web Home Sidebar 54,Detail,Sidebar,Mobile Web,Mixed,0.5973,0.01087,Medium,True
PLC_055,Mobile Web Video Feed Bottom 55,Video Feed,Bottom,Mobile Web,Mixed,0.7867,0.01013,High,True
PLC_056,Mobile Web Checkout Top 56,Article,Top,Mobile Web,Mixed,0.7518,0.01683,High,False
PLC_057,Mobile Web Article Bottom 57,Video Feed,Bottom,Mobile Web,Display,0.3654,0.00507,Low,True
PLC_058,App Checkout Middle 58,Checkout,Middle,App,Display,0.8064,0.01443,High,False
PLC_059,Mobile Web Detail Bottom 59,Video Feed,Bottom,Mobile Web,Mixed,0.663,0.00736,Medium,True
PLC_060,Mobile Web Article Top 60,Checkout,Top,Mobile Web,Mixed,0.7154,0.01368,High,False
