video_performance_id,performance_id,date,creative_id,video_starts,video_25p,video_50p,video_75p,video_completes,video_completion_rate
VID_00000001,PERF_00000002,2025-12-01,CRE_045,2769,1509,993,743,519,0.187432
VID_00000002,PERF_00000004,2025-12-01,CRE_046,7545,4530,3646,3227,2357,0.312392
VID_00000003,PERF_00000006,2025-12-01,CRE_042,8694,6033,4792,3438,2941,0.338279
VID_00000004,PERF_00000007,2025-12-01,CRE_049,2079,1711,1268,1182,963,0.463203
VID_00000005,PERF_00000009,2025-12-01,CRE_040,5039,3444,3106,2569,2023,0.401469
VID_00000006,PERF_00000017,2025-12-01,CRE_067,7316,6383,5158,4412,3569,0.487835
VID_00000007,PERF_00000021,2025-12-02,CRE_039,1750,1261,959,782,650,0.371429
VID_00000008,PERF_00000022,2025-12-02,CRE_039,2714,2433,2040,1808,1631,0.600958
VID_00000009,PERF_00000023,2025-12-02,CRE_039,3320,2882,2174,1858,1660,0.5
VID_00000010,PERF_00000024,2025-12-02,CRE_039,3443,2818,2245,1961,1647,0.478362
VID_00000011,PERF_00000025,2025-12-02,CRE_039,1981,1562,1384,1031,921,0.464917
VID_00000012,PERF_00000027,2025-12-02,CRE_039,1735,1557,1269,1058,961,0.55389
VID_00000013,PERF_00000028,2025-12-02,CRE_039,2855,2521,2292,1961,1697,0.594396
VID_00000014,PERF_00000029,2025-12-02,CRE_043,8563,4824,3280,2514,2019,0.235782
VID_00000015,PERF_00000034,2025-12-02,CRE_047,6748,5805,5324,4156,3782,0.560462
VID_00000016,PERF_00000035,2025-12-02,CRE_042,10486,6311,5595,3854,2977,0.283902
VID_00000017,PERF_00000036,2025-12-02,CRE_072,2336,1740,1587,1230,1073,0.459332
VID_00000018,PERF_00000038,2025-12-02,CRE_066,5016,3828,3284,2891,2298,0.458134
VID_00000019,PERF_00000044,2025-12-02,CRE_070,4921,4271,3330,2920,2473,0.50254
VID_00000020,PERF_00000046,2025-12-02,CRE_131,12969,11670,10267,8464,7186,0.554091
VID_00000021,PERF_00000049,2025-12-02,CRE_126,15647,11621,11017,8294,7182,0.459002
VID_00000022,PERF_00000050,2025-12-02,CRE_129,5838,3446,2552,2105,1502,0.25728
VID_00000023,PERF_00000051,2025-12-02,CRE_125,16674,11149,10117,8117,6245,0.374535
VID_00000024,PERF_00000052,2025-12-02,CRE_131,11439,10529,8078,6840,6154,0.537984
VID_00000025,PERF_00000058,2025-12-02,CRE_125,20323,15112,12329,9324,8074,0.397284
VID_00000026,PERF_00000060,2025-12-03,CRE_039,994,910,751,581,513,0.516097
VID_00000027,PERF_00000061,2025-12-03,CRE_039,1374,1234,969,871,745,0.542213
VID_00000028,PERF_00000063,2025-12-03,CRE_039,1493,1274,1033,931,801,0.536504
VID_00000029,PERF_00000064,2025-12-03,CRE_039,2013,1858,1452,1238,1064,0.528564
VID_00000030,PERF_00000065,2025-12-03,CRE_039,1124,1036,875,751,616,0.548043
VID_00000031,PERF_00000066,2025-12-03,CRE_039,565,472,393,305,271,0.479646
VID_00000032,PERF_00000067,2025-12-03,CRE_039,674,596,517,427,372,0.551929
VID_00000033,PERF_00000068,2025-12-03,CRE_039,2265,1905,1499,1238,1036,0.457395
VID_00000034,PERF_00000069,2025-12-03,CRE_047,6758,4817,4037,3175,2490,0.368452
VID_00000035,PERF_00000071,2025-12-03,CRE_042,5395,3246,2236,1996,1397,0.258943
VID_00000036,PERF_00000072,2025-12-03,CRE_046,8847,5506,3499,2762,2182,0.246637
VID_00000037,PERF_00000073,2025-12-03,CRE_045,3092,2029,1464,1145,796,0.257439
VID_00000038,PERF_00000074,2025-12-03,CRE_047,3963,3236,2904,2359,2024,0.510724
VID_00000039,PERF_00000076,2025-12-03,CRE_047,9426,8270,6494,5140,4604,0.488436
VID_00000040,PERF_00000078,2025-12-03,CRE_045,5877,4413,3001,2702,2160,0.367534
VID_00000041,PERF_00000081,2025-12-03,CRE_072,5777,4515,3649,3082,2710,0.469102
VID_00000042,PERF_00000084,2025-12-03,CRE_070,3142,2984,2682,2451,2102,0.669001
VID_00000043,PERF_00000087,2025-12-03,CRE_129,8764,6419,5626,4584,3751,0.428001
VID_00000044,PERF_00000090,2025-12-03,CRE_129,13831,10594,8140,6324,5279,0.381679
VID_00000045,PERF_00000091,2025-12-03,CRE_132,8922,6816,5686,4840,4096,0.45909
VID_00000046,PERF_00000093,2025-12-03,CRE_126,7397,5883,4915,4228,3419,0.462214
VID_00000047,PERF_00000094,2025-12-03,CRE_128,11931,9782,8971,7275,6262,0.524851
VID_00000048,PERF_00000095,2025-12-04,CRE_039,1373,1260,1057,807,730,0.531682
VID_00000049,PERF_00000096,2025-12-04,CRE_039,2759,2380,2092,1903,1595,0.578108
VID_00000050,PERF_00000097,2025-12-04,CRE_039,2068,1531,1317,1049,941,0.455029
VID_00000051,PERF_00000098,2025-12-04,CRE_039,1760,1644,1374,1304,1104,0.627273
VID_00000052,PERF_00000099,2025-12-04,CRE_039,2106,1948,1687,1412,1199,0.569326
VID_00000053,PERF_00000100,2025-12-04,CRE_039,530,425,395,319,265,0.5
VID_00000054,PERF_00000101,2025-12-04,CRE_039,604,431,386,302,253,0.418874
VID_00000055,PERF_00000102,2025-12-04,CRE_039,2729,2549,1943,1704,1505,0.551484
VID_00000056,PERF_00000104,2025-12-04,CRE_047,5420,4473,3742,3017,2657,0.490221
VID_00000057,PERF_00000105,2025-12-04,CRE_045,4846,2286,1648,1333,791,0.163227
VID_00000058,PERF_00000110,2025-12-04,CRE_067,1553,1230,935,823,716,0.461043
