ProductID,ProductName,Price,CategoryID,Class,ModifyDate,Resistant,IsAllergic,VitalityDays
1,Flour - Whole Wheat,74.2988,3,Medium,2018-02-16 08:21:49.190,Durable,False,313
2,Cookie Chocolate Chip With,91.2329,3,Medium,2017-02-12 11:39:10.970,Durable,False,182
3,Onions - Cippolini,9.1379,9,Medium,2018-03-15 08:11:51.560,Weak,False,19
4,"Sauce - Gravy, Au Jus, Mix",54.3055,9,Medium,2017-07-16 00:46:28.880,Durable,False,86
5,Artichokes - Jerusalem,65.4771,2,Low,2017-08-16 14:13:35.430,Durable,True,54
6,Wine - Magnotta - Cab Sauv,79.7184,8,High,2017-05-25 15:08:39.690,Durable,False,39
7,Table Cloth - 53x69 Colour,31.837,9,Medium,2017-02-24 15:14:30.050,Durable,False,9999
8,Halibut - Steaks,89.8573,5,Medium,2018-03-24 05:21:21.890,Durable,True,68
9,Rabbit - Whole,84.4219,11,Medium,2017-06-17 12:12:04.670,Durable,False,79
10,Scampi Tail,95.0957,4,Low,2017-07-30 10:11:45.990,Weak,True,14
11,Garbage Bags - Clear,6.2949,9,Low,2017-01-05 21:02:21.330,Durable,True,9999
12,Ezy Change Mophandle,49.3356,4,Medium,2017-11-01 09:49:59.030,Durable,True,54
13,"Water, Tap",28.2232,11,Low,2017-01-16 19:49:10.930,Durable,False,88
14,Beef - Top Sirloin,3.3324,7,Medium,2017-02-26 11:40:47.850,Durable,True,75
15,"Spoon - Soup, Plastic",32.442,1,Low,2017-03-03 09:47:09.310,Weak,True,27
16,Kellogs Special K Cereal,54.7246,2,Low,2017-01-23 09:25:47.110,Durable,True,68
17,"Wine - White, Mosel Gold",43.9182,10,Medium,2017-03-01 14:03:04.920,Durable,False,24
18,"Lamb - Whole, Fresh",23.3966,10,Medium,2017-12-19 16:45:04.730,Durable,False,5
19,Tea - Earl Grey,22.5614,3,Medium,2017-06-14 22:39:53.340,Weak,True,36
20,Chocolate - Feathers,85.9011,3,Low,2017-07-21 11:13:57.550,Durable,True,22
21,Kiwi,46.7252,7,High,2018-05-09 08:59:46.150,Durable,False,78
22,Rice - Jasmine Sented,27.8955,6,Medium,2017-05-09 14:08:23.630,Weak,False,267
23,Crab - Imitation Flakes,79.0184,11,Medium,2017-08-19 07:18:29.890,Durable,True,73
24,"Beer - Alexander Kieths, Pale Ale",89.037,3,Medium,2017-05-23 03:36:02.420,Durable,True,82
25,Soupcontfoam16oz 116con,80.7666,10,High,2017-04-09 15:30:41.250,Durable,True,38
26,Squid U5 - Thailand,33.7821,11,Medium,2018-03-26 19:31:26.970,Weak,False,82
27,Chocolate - Compound Coating,17.1724,1,Medium,2017-10-29 17:27:27.280,Durable,False,84
28,Sobe - Tropical Energy,12.3153,9,High,2017-10-25 04:23:48.230,Durable,True,57
29,Spinach - Baby,33.5883,7,Low,2017-08-06 17:21:24.000,Durable,True,59
30,"Cheese - Brie, Triple Creme",67.899,6,Low,2018-03-21 19:28:46.740,Weak,False,6
31,Yeast Dry - Fermipan,73.9851,2,Medium,2017-04-17 23:33:06.110,Durable,False,349
32,Lettuce - Treviso,96.4127,3,High,2017-01-09 18:29:05.790,Durable,True,55
33,Beans - Wax,45.5551,10,Medium,2017-02-01 15:20:22.860,Weak,True,14
34,Mustard Prepared,43.3463,6,Medium,2017-09-21 16:05:20.820,Weak,False,41
35,"Water - Mineral, Natural",15.7233,6,Low,2017-10-01 15:36:07.080,Durable,True,75
36,Table Cloth 54x72 White,69.2574,9,Low,2018-03-04 18:24:57.500,Durable,True,9999
37,"Nut - Pistachio, Shelled",80.3171,2,Low,2017-02-27 14:01:39.130,Durable,False,81
38,Sage - Ground,81.6579,6,High,2017-09-26 00:45:35.600,Weak,False,69
39,Dried Figs,75.2059,11,Medium,2017-08-04 21:51:44.260,Weak,False,62
40,Cocktail Napkin Blue,8.9372,8,Low,2017-06-28 03:05:34.400,Durable,False,79
41,"Cup - 6oz, Foam",81.721,7,Medium,2018-03-15 16:02:55.860,Durable,True,82
42,Bread - Raisin Walnut Oval,81.0488,1,High,2018-04-01 08:39:17.290,Weak,False,59
43,Sponge Cake Mix - Chocolate,16.3983,9,High,2017-08-12 13:40:16.800,Weak,True,53
44,"Wine - White, Colubia Cresh",48.5981,7,High,2018-04-09 16:28:48.450,Durable,True,62
45,Beef - Ground Medium,79.5324,4,Medium,2018-03-23 17:00:00.370,Weak,True,64
46,Lambcasing,86.7915,9,High,2017-07-12 21:27:57.760,Durable,False,87
47,"Thyme - Lemon, Fresh",47.1339,9,High,2018-02-16 02:50:46.780,Weak,False,2
48,Pecan Raisin - Tarts,60.3625,7,Low,2017-11-26 03:31:03.240,Durable,False,202
49,Bacardi Breezer - Tropical,61.4317,8,High,2017-01-03 12:21:41.850,Durable,False,32
50,Pork - Kidney,43.2864,7,High,2018-04-21 00:02:16.210,Weak,True,61
51,Wine - Crozes Hermitage E.,81.0134,11,Medium,2017-05-16 18:38:05.230,Durable,False,25
52,"Turnip - White, Organic",55.6059,1,Low,2017-06-27 06:39:03.810,Durable,False,22
53,Cassis,92.6279,8,Medium,2018-02-16 15:42:44.950,Weak,True,40
54,"Liners - Banana, Paper",53.5592,9,Medium,2017-06-23 03:31:04.500,Weak,True,9999
55,Cinnamon Buns Sticky,6.6182,3,High,2018-03-05 08:20:42.050,Durable,False,24
56,Chips Potato Salt Vinegar 43g,46.4033,9,Low,2017-10-10 18:13:25.560,Weak,False,269
57,Sausage - Breakfast,12.2145,3,Low,2017-11-03 04:20:41.080,Durable,True,48
58,Dc Hikiage Hira Huba,20.1009,7,Low,2017-10-24 04:35:49.140,Durable,False,29
59,Pastry - Butterscotch Baked,73.5389,10,High,2017-04-08 09:15:47.620,Durable,False,37
60,"Pepper - Paprika, Hungarian",31.6949,2,Medium,2017-09-29 18:42:08.470,Weak,False,74
61,Sardines,62.546,8,Low,2017-12-03 21:41:12.420,Durable,False,19
62,Pears - Bosc,19.5217,1,Medium,2017-09-09 10:50:41.830,Durable,False,39
63,Cake - Mini Cheesecake,56.2689,9,Low,2017-08-18 11:59:57.890,Weak,False,4
64,Vinegar - Sherry,16.5229,6,Low,2017-08-05 16:43:17.930,Durable,True,74
65,Brandy - Bar,21.1106,3,High,2017-04-14 10:38:39.870,Weak,False,68
66,Pie Filling - Cherry,9.8823,7,Medium,2018-05-06 02:33:15.540,Weak,False,19
67,Wine - Sogrape Mateus Rose,3.7805,5,Low,2017-09-30 18:29:36.160,Durable,True,45
68,"Beets - Candy Cane, Organic",84.8769,6,High,2017-09-04 03:43:50.120,Durable,False,241
69,Raspberries - Fresh,87.6092,1,Low,2017-10-04 20:04:40.780,Durable,True,3
70,Squid - Tubes / Tenticles 10/20,63.1846,4,Low,2017-05-08 15:22:11.810,Weak,True,85
71,Cheese - Wine,74.4076,6,Low,2018-04-04 19:24:07.990,Durable,False,4
72,Bar - Granola Trail Mix Fruit Nut,62.2603,4,High,2017-10-13 13:17:29.330,Durable,False,16
73,Appetizer - Sausage Rolls,48.1907,11,Low,2017-05-17 18:53:20.470,Weak,True,34
74,Carbonated Water - Cherry,13.6241,7,Medium,2018-04-26 19:34:18.940,Durable,False,22
75,Chef Hat 20cm,4.18,8,High,2017-09-14 19:11:01.690,Durable,False,56
76,Wine - Fume Blanc Fetzer,65.6765,6,Low,2017-02-08 00:20:28.860,Durable,False,27
77,Potatoes - Idaho 100 Count,11.4971,9,Medium,2018-02-04 00:28:06.840,Durable,False,77
78,Wine - Magnotta - Belpaese,30.4202,4,Medium,2017-09-18 14:49:41.440,Weak,False,33
79,"Pasta - Penne, Rigate, Dry",9.5045,11,High,2017-07-09 10:36:02.050,Weak,False,310
80,Wasabi Powder,93.9752,2,High,2018-02-04 18:02:43.490,Weak,True,83
81,Cookies - Assorted,86.6483,2,Medium,2017-02-08 16:40:40.180,Durable,False,330
82,Jolt Cola - Electric Blue,56.8099,5,Low,2018-04-12 13:56:24.050,Durable,False,26
83,Lamb - Ground,50.8837,1,High,2017-10-22 16:02:06.370,Durable,False,59
84,Peas - Frozen,90.3019,1,Medium,2017-08-25 17:19:07.790,Durable,False,343
85,Cheese - Parmesan Cubes,86.8857,7,High,2017-11-06 00:50:41.510,Durable,False,5
86,Longos - Grilled Chicken With,18.3791,2,Low,2018-02-28 16:54:02.310,Weak,False,63
87,Wine - Pinot Noir Latour,3.7847,7,Low,2017-04-02 02:46:20.850,Durable,False,57
88,Remy Red,91.996,2,Low,2017-12-19 11:49:18.370,Durable,False,86
89,"Beef - Ground, Extra Lean, Fresh",36.7281,3,Medium,2017-11-26 07:44:38.770,Weak,True,3
90,Flavouring - Orange,69.32,9,High,2018-04-30 21:22:41.530,Durable,True,52
91,General Purpose Trigger,57.0429,6,High,2017-05-02 14:04:16.410,Durable,True,89
92,"Wine - Red, Colio Cabernet",60.2161,1,Low,2017-09-13 09:25:50.000,Weak,False,42
93,Bandage - Fexible 1x3,8.119,8,Low,2017-06-20 15:29:47.970,Durable,False,53
94,V8 - Berry Blend,43.5109,9,High,2018-03-15 03:09:35.790,Weak,False,23
95,Beans - Kidney White,46.3913,1,High,2017-12-02 05:24:21.990,Durable,False,21
96,Cheese - Bocconcini,62.1993,7,High,2017-07-07 05:12:14.030,Durable,False,6
97,Veal - Inside,24.7798,4,Medium,2017-08-14 20:39:19.390,Weak,True,35
98,Shrimp - 31/40,99.8755,3,High,2017-01-07 20:56:58.860,Weak,False,79
99,Mustard - Seed,27.4874,5,Low,2017-12-27 05:50:08.570,Weak,True,83
100,"Pork - Loin, Bone - In",69.6501,9,Low,2018-03-27 14:26:44.840,Durable,False,79
101,"Soup - Campbells, Lentil",83.011,4,Medium,2018-02-19 02:58:21.610,Durable,False,66
102,"Rosemary - Primerba, Paste",62.257,4,High,2017-06-14 23:06:56.660,Durable,False,77
103,Cream Of Tartar,72.7534,7,Low,2017-02-22 07:26:22.460,Durable,False,4
104,Tia Maria,98.2471,5,High,2018-01-04 20:59:30.040,Durable,False,30
105,Ecolab - Mikroklene 4/4 L,68.8789,1,Medium,2017-01-17 04:38:08.220,Durable,True,85
